Worklist,,,,,,,,,,,,,,,,,,,,,,,,,
[PLATE1]Corning 1536_PN_4560_black_clear,[PLATE2]Fisher_384roundShallow_CJR,,,,,,,,,,,,,,,,,,,,,,,,
COPY,1,25,25,1,1,2,1,1,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,26,26,1,1,2,2,2,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,27,27,1,1,2,3,3,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,28,28,1,1,2,4,4,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,29,29,1,1,2,5,5,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,30,30,1,1,2,6,6,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,31,31,1,1,2,7,7,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,32,32,1,1,2,8,8,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,33,33,1,1,2,9,9,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,34,34,1,1,2,10,10,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,35,35,1,1,2,11,11,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,37,37,1,1,2,13,13,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,38,38,1,1,2,14,14,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,39,39,1,1,2,15,15,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,40,40,1,1,2,16,16,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,41,41,1,1,2,17,17,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,42,42,1,1,2,18,18,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,43,43,1,1,2,19,19,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,44,44,1,1,2,20,20,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,45,45,1,1,2,21,21,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,46,46,1,1,2,22,22,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
COPY,1,47,47,1,1,2,23,23,1,1,1000,always,FALSE,[AspirateMixing]Cycles,3,[AspirateMixing]Volume,1000,[AspirateMixing]Move,0,[DispenseMixing]Cycles,3,[DispenseMixing]Volume,1000,[DispenseMixing]Move,0
